"Timestamp","Posters I (Tuesday)"
"2025/07/21 4:52:37 pm EEST","160"
"2025/07/21 4:54:26 pm EEST","42"
"2025/07/22 11:39:32 am EEST","34"
"2025/07/22 11:45:26 am EEST","90"
"2025/07/22 11:48:16 am EEST","90"
"2025/07/22 12:11:07 pm EEST","34"
"2025/07/22 12:22:09 pm EEST","34"
"2025/07/22 12:54:41 pm EEST","94"
"2025/07/22 2:30:52 pm EEST","34"
"2025/07/22 2:55:59 pm EEST","82"
"2025/07/22 2:59:24 pm EEST","85"
"2025/07/22 2:59:34 pm EEST","62"
"2025/07/22 3:03:52 pm EEST","20"
"2025/07/22 3:08:10 pm EEST","43"
"2025/07/22 3:15:34 pm EEST","82"
"2025/07/22 3:18:53 pm EEST","14"
"2025/07/22 3:21:58 pm EEST","13"
"2025/07/22 3:25:07 pm EEST","69"
"2025/07/22 3:26:00 pm EEST","28"
"2025/07/22 3:28:54 pm EEST","42"
"2025/07/22 3:29:29 pm EEST","7"
"2025/07/22 3:38:28 pm EEST","79"
"2025/07/22 3:45:45 pm EEST","75"
"2025/07/22 3:47:42 pm EEST","69"
"2025/07/22 3:50:52 pm EEST","7"
"2025/07/22 4:00:42 pm EEST","69"
"2025/07/22 4:09:07 pm EEST","102"
"2025/07/22 4:11:14 pm EEST","78"
"2025/07/22 4:11:41 pm EEST","34"
"2025/07/22 4:14:23 pm EEST","34"
"2025/07/22 4:18:57 pm EEST","34"
"2025/07/22 4:24:00 pm EEST","78"
"2025/07/22 4:29:43 pm EEST","34"
"2025/07/22 5:02:15 pm EEST","43"
"2025/07/22 5:05:06 pm EEST","98"
"2025/07/22 5:06:52 pm EEST","68"
"2025/07/22 5:07:48 pm EEST","34"
"2025/07/22 5:13:39 pm EEST","98"
"2025/07/22 5:15:18 pm EEST","7"
"2025/07/22 5:24:17 pm EEST","105"
"2025/07/22 5:31:27 pm EEST","7"
"2025/07/22 5:35:08 pm EEST","33"
"2025/07/22 5:38:02 pm EEST","34"
"2025/07/22 6:37:03 pm EEST","49"
"2025/07/22 6:50:14 pm EEST","34"
"2025/07/22 7:05:09 pm EEST","15"
"2025/07/22 7:09:41 pm EEST","13"
"2025/07/22 7:09:53 pm EEST","79"
"2025/07/22 7:09:56 pm EEST","68"
"2025/07/22 7:09:59 pm EEST","13"
"2025/07/22 7:10:06 pm EEST","13"
"2025/07/22 7:10:45 pm EEST","70"
"2025/07/22 7:11:24 pm EEST","42"
"2025/07/22 7:12:10 pm EEST","82"
"2025/07/22 7:14:08 pm EEST","96"
"2025/07/22 7:14:25 pm EEST","83"
"2025/07/22 7:16:27 pm EEST","79"
"2025/07/22 7:16:31 pm EEST","79"
"2025/07/22 7:17:32 pm EEST","62"
"2025/07/22 7:21:10 pm EEST","50"
"2025/07/22 7:21:17 pm EEST","50"
"2025/07/22 7:21:22 pm EEST","46"
"2025/07/22 7:21:23 pm EEST","50"
"2025/07/22 7:21:30 pm EEST","50"
"2025/07/22 7:24:31 pm EEST","96"
"2025/07/22 7:54:34 pm EEST","62"
"2025/07/22 7:55:22 pm EEST","103"
"2025/07/22 7:55:27 pm EEST","103"
"2025/07/22 10:36:07 pm EEST","78"
"2025/07/22 10:37:20 pm EEST","94"
"2025/07/22 11:01:31 pm EEST","34"
"2025/07/22 11:27:08 pm EEST","34"
"2025/07/23 12:20:03 am EEST","68"
"2025/07/23 6:15:55 am EEST","78"
"2025/07/23 6:27:16 am EEST","78"
"2025/07/23 6:33:06 am EEST","78"
"2025/07/23 8:19:24 am EEST","78"
