"Timestamp","Posters I (Tuesday)"
"2025/07/21 4:52:37 pm EEST","160"
"2025/07/21 4:54:26 pm EEST","42"
"2025/07/22 11:39:32 am EEST","34"
"2025/07/22 11:45:26 am EEST","90"
"2025/07/22 11:48:16 am EEST","90"
"2025/07/22 12:11:07 pm EEST","34"
"2025/07/22 12:22:09 pm EEST","34"
"2025/07/22 12:54:41 pm EEST","94"
"2025/07/22 2:30:52 pm EEST","34"
"2025/07/22 2:55:59 pm EEST","82"
"2025/07/22 2:59:24 pm EEST","85"
"2025/07/22 2:59:34 pm EEST","62"
"2025/07/22 3:03:52 pm EEST","20"
"2025/07/22 3:08:10 pm EEST","43"
"2025/07/22 3:15:34 pm EEST","82"
"2025/07/22 3:18:53 pm EEST","14"
"2025/07/22 3:21:58 pm EEST","13"
"2025/07/22 3:25:07 pm EEST","69"
"2025/07/22 3:26:00 pm EEST","28"
"2025/07/22 3:28:54 pm EEST","42"
"2025/07/22 3:29:29 pm EEST","7"
"2025/07/22 3:38:28 pm EEST","79"
"2025/07/22 3:45:45 pm EEST","75"
"2025/07/22 3:47:42 pm EEST","69"
"2025/07/22 3:50:52 pm EEST","7"
"2025/07/22 4:00:23 pm EEST","68"
"2025/07/22 4:00:42 pm EEST","69"
