1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
;;;;;;;;;;;;;;;69;68;;57;56;;41;40;;25;24;;;;;
;;;;;;;;;;;;;;;70;67;;58;55;;42;39;;26;23;;;;;
;;;;;;;;;;;;;;;71;66;;59;54;;43;38;;27;22;;;;;
;;;;;;;;;;;;;;;72;65;;60;53;;44;37;;28;21;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;61;52;;45;36;;29;20;;13;9;;8;4
;;;;;;80;79;78;77;76;75;74;73;;;;62;51;;46;35;;30;19;;14;10;;7;3
101;100;;93;92;;88;87;86;85;84;83;82;81;;;;63;50;;47;34;;31;18;;15;11;;6;2
102;99;;94;91;;;;;;;;;;;;;64;49;;48;33;;32;17;;16;12;;5;1
103;98;;95;90;;;;;;;;;;;;;;;;;;;;;;;;;;
104;97;;96;89;;105;106;107;108;;;;;;;;;;109;110;11;;;;;;;;;
